id,name,categories,lat,long,num_checkins,num_likes,price,rating,num_ratings,url_venue,url_foursquare
4a66705bf964a5208cc81fe3,SF MUNI - 7/7R Haight-Noriega,"Bus Line, Moving Target",37.753882675944126,-122.48000303187189,0,6,,,,,http://4sq.com/7bVil9
50905074e4b0b197b9d375a2,Garden of Humanitarians,Garden,37.78425730444533,-122.48497575649894,0,1,,,,,http://4sq.com/SgaLJs
4ca3db6dd5a2a14313234d90,Golden Dragon Printing,,37.75867305,-122.39311090000001,0,0,,,,,http://4sq.com/cETysa
4abd79c6f964a5208e8a20e3,Cheung Hing,Chinese Restaurant,37.75374966122286,-122.48891064213227,0,33,1,7.0,55,http://cheunghingonline.com,http://4sq.com/9DCD1l
50b6970ce4b0b5250b476a10,ABC Party Supplies,Toy / Game Store,37.78246456409365,-122.49016559734234,0,0,,,,,http://4sq.com/Sr0iNm
44d344bef964a52041361fe3,Legion of Honor,Art Museum,37.78457107287503,-122.50066995620726,0,703,,9.2,826,http://legionofhonor.famsf.org,http://4sq.com/6gUvDS
4eb802570aaf1abee06072bf,Walmart San Bruno Shuttle,Bus Line,37.72063363482178,-122.44734031562449,0,0,,,,,http://4sq.com/s6wGWl
4be75b50cf200f47f0a0153c,Balboa Park Sweeney Field,Baseball Field,37.723267777854396,-122.44631915218191,0,0,,,,,http://4sq.com/cyDSHt
4c62d532e1621b8d07632453,Financial District,Neighborhood,37.791781993942266,-122.40093525119194,0,179,,,,,http://4sq.com/dedKcI
4d351c842e56236a5a0035b4,607 Corbett Ave,,37.757265,-122.443587,0,0,,,,,http://4sq.com/hN8nQf
4ba918def964a520180b3ae3,Presidio Stairs,Park,37.792189518175135,-122.44339798276597,0,1,,,,,http://4sq.com/cPcKmZ
4b0894a3f964a520d10e23e3,The Firm,,37.79053326466394,-122.4424966992996,0,0,,,,,http://4sq.com/9QjtJI
4b6ca5e7f964a52040492ce3,Citibank,Bank,37.79303181874529,-122.39651847920027,0,4,,6.3,9,http://www.citi.com,http://4sq.com/aOqvlE
4dd02f7bd164679b8d2adca6,LDS Church - Sunset Chapel,Church,37.75970691520786,-122.49303951953408,0,0,,,,,http://4sq.com/mQ9c1R
522a9f9311d229cdd391f586,Black Rock City,,37.760465,-122.397109,0,0,,,,,http://4sq.com/1enTri3
4f667680e4b08383b37b0fae,Broderick between Vallejo and Union,Park,37.79342882944791,-122.44325422027876,0,0,,,,,http://4sq.com/xdSEv4
52def277498e3b75058c165b,Dollhouse rooftop,Scenic Lookout,37.754623,-122.492853,0,0,,,,,http://4sq.com/1f4l5RH
5bcfc5fdc0af57002c91ba19,In An Uberx,"Moving Target, Transportation Service",37.78207839792454,-122.49468093571336,0,0,,,,,https://4sq.com/2NZLIMT
52aa45a711d222f4e85c67c4,blackfleece,Clothing Store,37.782153,-122.48783,0,0,,,,,http://4sq.com/Jk7UjY
